Company Symbol,Market Cap,Authorized Shares,Outstanding Shares,Par Value,SEC Filings,Address,Website,Phone,Email,Audited Financials,Latest Report,Fiscal Year End,Company Officers,BOARD OF DIRECTORS,Employees
AVBH,"146,229,381","15,000,000","7,819,753",NaN,NaN,"1732 N 1st Street, 6th Floor San Jose, CA 95112",www.avidbank.com,+1 408-200-7390,info@avidbank.com,NaN,NaN,NaN,"Reporting Status (U.S. Reporting: Bank/Thrift), Audited Financials (Audited), Latest Report (12/31/2023 Annual Report), CIK (0001443575), Fiscal Year End (12/31)","Mark D. Mordell, Gina Thoma-Peterson, Patrick Oakes, Dorothy Hamilton, Cathe Franklin, Jennifer Boyd, Yolanda Hackenberg, Geoffrey Butner, Alicia Lopez, Michael F. Rosinus, Kristofer Biorn, Diane Flynn, Lisa Hendrickson, Bryan Polster, Robert Scott, Marc Verissimo",Nan
AVCNF,"18,821,934",Unlimited,"97,928,896",0.3,NaN,"480 University Ave Suite 1502 Toronto, ON M5G 1V2 Canada",www.avicanna.com,647-243-5283,info@avicanna.com,Audited,03/31/2024 Quarterly Report,Dec-31,"Aras Azadian (CEO), Phillip S Cardella (CFO)","Giancarlo Davila Char, John McVicar, Eileen McCormack, Aras Azadian, Paul Fornazzari",85 as of 04/10/2024
AVCRF,"12,983,056",Unlimited,"99,869,664",NaN,12/31/2023,"1120-789 West Pender St Vancouver, BC V6C 1H2 Canada",www.avricorehealth.com,(604) 773-8943,finance@avricorehealth.com,Audited,03/31/2024 Interim Financial Report,Dec-31,"Hector Bremner (CEO), Kiki Smith (CFO), Rodger Seccombe (CTO), Rae Mancao (Accountant), Muhammad Mujeeb Memon (Controller)","David Hall, Alan Arnstein, Hector Bremner, Christine Hrudka, Rodger Seccombe, Robert Sindelar, Thomas Teahen",10 as of 04/09/2024
AVCTF,"99,539,841",NaN,"207,981,280",NaN,NaN,NaN,avacta.com,,NaN,Audited,NaN,Jul-31,NaN,NaN,NaN
AVCVF,NaN,NaN,NaN,NaN,,"800 West Pender Street 1020 Vancouver, BC V6C 2V6 Canada",www.americanvanadium.com,(604)-685-9466,info@americanvanadium.com,Audited,03/31/2015 Quarterly Report,Dec-31,"Bill Radvak (President, CEO), John Downes (CFO), Sandra Lee (Corporate Secretary)","Brian Bayley, Robert B. Catell, Oleg Popovsky, Bill Radvak, Brett Whalen",2 as of 07/06/2015
AVDWF,"9,190,345",NaN,"11,935,513",NaN,,"1103-3779 Sexsmith Rd. Richmond, BC V6X 3Z9 Canada",NaN,604-279-8868,NaN,NaN,NaN,NaN,"Wong Pang Gen (President), Edgar Pang (CFO)",NaN,NaN
AVEFF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AVEW,"125,001","5,000,000,000","1,250,014,713",0.001,11/06/2014,"13359 N Hwy 183 #406-1052 Austin, TX 78750",www.avewholdings.com,512-554-4200,chavezgroup10@gmail.com,Unaudited,03/31/2020 Quarterly Report,Dec-31,Jose Chavez (CEO),NaN,2 as of 04/01/2020
AVEXF,NaN,NaN,NaN,NaN,NaN,"3-1-30, Minami-Aoyama Minatu-ku Tokyo 107-8577 Japan","www.avex,co.jp",03-5413-8550,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AVFCF,"6,701,172",NaN,"25,773,739",NaN,,"28 Ongar Business Centre The Gables, Fyfield Road Essex CM4 0GA United Kingdom",www.advfn.com,+44 (0)207 0700 909,ir@advfn.com,Audited,12/31/2014 Semi-Annual Report,Jun-30,"Jonathan Mullins (CFO, CTO), Matthew Collom (Manager, Sales)","Michael Hodges, Yair Tauman",33 as of 06/30/2013
AVGDF,"2,688,463",Unlimited,"185,411,207",NaN,,"18 King Street East Suite 902 Toronto, ON M5C 1C4 Canada",www.avidiangold.com,+1 905-741-5458,info@avidiangold.com,Audited,06/30/2022 Annual Report,Jun-30,"Stephen Paul Roebuck (President, CEO), Donna Ruth McLean (CFO), Jeff Mosher (Controller)","Stephen Altmann, James Polson, Dino Titaro, Rick Winters",4 as of 08/22/2022
AVGTF,"1,494,724,374",NaN,"503,274,200",NaN,NaN,Beaufort House 51 New North Road Exeter EX4 4EP United Kingdom,www.assetvalueinvestors.com/agt,+44 020 7659 4800,info@assetvalueinvestors.com,NaN,NaN,Sep-30,NaN,NaN,NaN
AVHHL,"35,903,531","200,000,000","21,628,633",NaN,06/05/2024,"28159 Avenue Stanford Suite 220 Valencia, CA 91355",avitamedical.com,(661) 367-9170,NaN,Audited,03/31/2024,Dec-31,NaN,NaN,NaN
AVHI,"33,773,917",NaN,"3,050,941",NaN,04/09/2024,"60 Walnut Avenue Suite 400 Clark, NJ 07066",NaN,(732) 340-0700,NaN,Audited,03/31/2024,Dec-31,NaN,NaN,NaN
AVHIU,NaN,NaN,NaN,NaN,04/09/2024,"60 Walnut Avenue Suite 400 Clark, NJ 07066",NaN,(732) 340-0700,NaN,Audited,03/31/2024,Dec-31,NaN,NaN,NaN
AVHIW,NaN,NaN,NaN,NaN,04/09/2024,"60 Walnut Avenue Suite 400 Clark, NJ 07066",NaN,(732) 340-0700,NaN,Audited,03/31/2024,Dec-31,NaN,NaN,NaN
AVHNF,NaN,NaN,NaN,NaN,,Begijnenvest 113 Antwerpen B-2000 Belgium,www.avh.be,+ 32(3)231 87 70,info@avh.be,Audited,12/31/2008 Annual Report,Dec-31,Luc Bertrand (CEO),Luc Bertrand,NaN
AVHNY,"5,694,473,000",NaN,"33,496,900",NaN,NaN,Begijnenvest 113 Antwerpen B-2000 Belgium,www.avh.be,+ 32(3)231 87 70,info@avh.be,Audited,12/31/2008 Annual Report,Dec-31,Luc Bertrand (CEO),Luc Bertrand,NaN
AVIFY,"16,635,000,000",NaN,"3,000,000,000",NaN,,414 Paholyothin Rd. Shinawatra Tower 1 Bangkok 10400 Thailand,www.investor.ais.co.th,-4754,investor@ais.co.th,Audited,NaN,Dec-31,"Somchai Lertsutiwong (CEO), Pong-amorn Nimpoonsawat (CFO)",Allen Lew Yoong Keong,"7,914 as of 02/28/2013"
AVIJF,"866,206,620",NaN,"2,014,434,000",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Dec-31,NaN,NaN,NaN
AVIKF,"17,719,646,200",NaN,"2,973,095,000",NaN,,414 Paholyothin Rd. Shinawatra Tower 1 Bangkok 10400 Thailand,www.investor.ais.co.th,-4754,investor@ais.co.th,Audited,NaN,Dec-31,"Somchai Lertsutiwong (CEO), Pong-amorn Nimpoonsawat (CFO)",Allen Lew Yoong Keong,"7,914 as of 02/28/2013"
AVISF,NaN,NaN,NaN,NaN,NaN,Saray Mahallesi Dr. Adnan Buyukdeniz Istanbul 34768 Turkey,www.avivasa.com.tr/en,,investor.relations@avivasa.com.tr,Unaudited,NaN,Dec-31,NaN,NaN,NaN
AVIVF,"15,608,748,750",NaN,"2,973,095,000",NaN,,414 Paholyothin Rd. Shinawatra Tower 1 Bangkok 10400 Thailand,www.investor.ais.co.th,-4754,investor@ais.co.th,Audited,NaN,Dec-31,"Somchai Lertsutiwong (CEO), Pong-amorn Nimpoonsawat (CFO)",Allen Lew Yoong Keong,"7,914 as of 02/28/2013"
AVIX,"3,542","500,000,000","35,423,650",0.001,,"3773 Howard Hughes Pkwy Ste 500S Las Vegas, NV 89169",www.avixtechnologies.com,702-723-7203,info@avixtechnologies.com,Unaudited,12/31/2020 Annual Report,Dec-31,"Tao Zhang (President, Secretary, Treasurer)","Delia Snyder, Tao Zhang",5 as of 07/06/2010
AVIZF,"7,137,600,000","4,997,000,000","2,974,000,000",NaN,,414 Paholyothin Rd. Shinawatra Tower 1 Bangkok 10400 Thailand,www.investor.ais.co.th,-4754,investor@ais.co.th,Audited,NaN,Dec-31,"Somchai Lertsutiwong (CEO), Pong-amorn Nimpoonsawat (CFO)",Allen Lew Yoong Keong,"7,914 as of 02/28/2013"
AVLNF,"26,785,037",Unlimited,"565,085,174",NaN,,"130 Adelaide Street West Suite 2060 Toronto, ON M5H 3P5 Canada",www.avalonadvancedmaterials.com,+1 416-364-4938,ir@AvalonAM.com,Audited,02/29/2024 Quarterly Report,Aug-31,"Zeeshan Syed (President, Vice President), Scott Monteith (CEO), R. James Andersen (CFO, Corporate Secretary, Vice President), Andrew J. Ramcharan (Vice President), Rickardo Welyhorsky (Vice President), Cindy Hu (Controller)","Jan Holland, Alan Ferry, Timothy Haig, Naomi Johnson, Alec Kodatsky, Benny Loix, Scott Monteith, Harvey Yesno",15 as of 08/31/2023
AVLP,"57,511","75,000,000","57,510,868",0.001,07/26/2019,"299 South Main Street Suite 1300 Salt Lake City, UT 84111",mtixinternational.com,(888) 863-9490,Info@AvalancheInternationalCorp.com,Audited,08/31/2016,Nov-30,"Philip E. Mansour (President, CEO, Corporate Secretary), William B. Horne (CFO, Treasurer)","Milton C. Ault III, William B. Horne, Philip E. Mansour, Pravin Mistry, Manuel Turchan",2 as of 01/01/2017
AVLS,"36,116","200,000,000","120,387,000",NaN,NaN,"FM 3083 TEAS Rd at Plantation Dr. Suite 100 Conroe, TX 77303",www.otcexchange.company,214-799-0542,inquires@otcexchange.company,NaN,06/30/2015 Quarterly Report,Dec-31,"James Morgan (CEO), Jeff Borden (CFO), Samantha Jameson (VP, Corp. Comm.), Matt James (CTO), Adria Hagg (Advisor)",J. Daniel Jarvis,14 as of 04/14/2015
AVMPF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AVNBF,"458,501,550",NaN,"30,669,000",NaN,NaN,Hampton Park West Semington Road Melksham SN12 6NB United Kingdom,www.avon-rubber.com,+44 (0)1225 896800,NaN,NaN,NaN,Sep-30,NaN,NaN,NaN
AVNE,"5,869","150,000,000","58,687,513",NaN,,"225 Industrial Dr Georgetown, SC 29440",www.aventuraequities.com,843-647-7464,admin@aventuraequities.com,Unaudited,09/30/2013 Quarterly Report,Dec-31,"Richard Armstrong (CEO), Timothy Tompkins (CTO, Secretary)","Richard Armstrong, Timothy Tompkins",2 as of 07/09/2013
AVNI,"48,138,222","500,000,000","120,345,554",0.001,05/10/2024,"299 S. Main Street 13th Floor Salt Lake City, UT 84111",www.arvana.us,(801) 232-7395,ruairidh@arvana.us,Audited,03/31/2024,Dec-31,"Ruairidh Campbell (CEO, CFO, Principal Acct. Officer)","John Baring, Ruairidh Campbell, Shawn Teigen",1 as of 04/30/2024
AVNY,"20,409","500,000,000","204,086,152",0.00001,,NaN,NaN,NaN,NaN,NaN,03/31/2009,Jun-30,NaN,NaN,0 as of 08/26/2010
AVOA,"10,475,400","8,305","8,058",NaN,,"701 Poydras St Suite 1303 New Orleans, LA 70139",avoca838@aol.com,504-552-4720,NaN,Audited,03/31/2024 Quarterly Report,Dec-31,"Jay Corenswet (Executive Director), John P. Laborde (President), Charles Mark Duthu (Secretary, Treasurer), Bernard E. Boudreaux Jr (Vice President)","Charles Mark Duthu, Lenny Sawyer, III, Bernard E. Boudreaux Jr, Edwin R. Rodriguez Jr., John P. Laborde",0 as of 03/01/2023
AVOI,"47,399,589","547,500,000","80,338,287",NaN,03/31/2024,"7659 E. Wood Drive Scottsdale, AZ 85260",NaN,(480) 704-4183,NaN,Audited,05/17/2024 8K Report,Dec-31,"Walter Geldenhuys (President, CEO)",NaN,NaN
AVOT,"1,036,654","480,000,000","51,832,701",0.001,NaN,"11226 Pentland Downs Street Las Vegas, NV 89141",realestateeaglefirm.com,+1 407-489-3736,willysaint@realestateeaglefirm.com,Unaudited,09/30/2022 Quarterly Report,Dec-31,"Willy A Saint-Hilaire (President, CEO), Arnulfo Saucedo-Bardan (Chief Admin. Officer)","Brian D Colvin, Willy A Saint-Hilaire, Arnulfo Saucedo-Bardan",1 as of 07/26/2021
AVOZ,"74,702","750,000,000","747,020,915",0.001,,"888 Prospect Avenue Suite 200 La Jolla, CA 92037",www.nurish.me,+61 833 368-7474,dean@nurish.me,Unaudited,12/31/2022 Annual Report,Dec-31,Kevin Huff (Chief Revenue Officer),NaN,4 as of 09/01/2021
AVPI,"2,109",NaN,"21,089,626",0.001,,"1187 Coast Village Road Suite 319 Santa Barbara, CA 93108",NaN,805-969-7482,NaN,NaN,09/30/2008,Dec-31,"Jeffrey Wattenberg (President, CEO, Secretary), Andrew Reif (COO)",NaN,NaN
AVPMF,"656,097",Unlimited,"54,674,754",NaN,12/31/2023,"Suite 410 - 325 Howe Street Vancouver, BC V6C 1Z7 Canada",www.avrupaminerals.com,604-687-3520,info@avrupaminerals.com,Audited,12/31/2023,Dec-31,"Paul Kuhn (CEO), Winnie Wong (CFO)","Mark Thomas Brown, Paul Dircksen, Frank Hogel, Paul Kuhn, Paul Nelles, Ross Stringer",NaN
AVRI,"1,175,000","1,000,000,000","250,000,000",0.004,,"13784 Graber Ave. Sylmar, CA 91342",www.averox.education,+1 818-472-7071,bob@averoxinc.com,Unaudited,12/31/2023 Annual Report,Dec-31,"Robert Goldstein (President, Treasurer, Secretary), Devin Bone (Lawyer), Rowena Paredes (Corporate Controller)",Robert Goldstein,1 as of 01/10/2022
AVRTF,"2,280,796",Unlimited,"91,414,661",NaN,NaN,"#610 - 700 West Pender Street Vancouver, BC V6C 1G8 Canada",www.avarone.com,604-669-9788 ext.10,info@avarone.com,Audited,NaN,Jul-31,"Marc Levy (CEO), Anita Algie (CFO)","Anita Algie, Peter Born, Marc Levy",NaN
AVRW,"3,587,350","150,000,000","79,190,953",0.001,03/31/2024,"5805 Sepulveda Boulevard Suite 500 Sherman Oaks, CA 91411",www.avenirwellness.com,(424) 273-8675,investor@avenirwellness.com,Audited,03/31/2024,Dec-31,"Nancy T Duitch (CEO), Joel Martin Bennett (CFO, Company Secretary, Chief Accounting Officer, Treasurer)","Gerald Bagg, Robert J. Costantino, Robert Davidson, Nancy T Duitch, Gene Zachary Salkind, Dov Szapiro",13 as of 11/29/2023
AVSA,"2,045","50,000,000","20,453,444",0.001,NaN,NaN,NaN,800-382-0034,NaN,NaN,NaN,Dec-31,John Mitchell (CEO),NaN,1 as of 11/20/2006
AVSFY,"1,550,123,639",NaN,"348,812,700",NaN,NaN,P.O. Box 1897 Saxonwold 2132 South Africa,www.avi.co.za,+27 (0)11 502 1300,info@avi.co.za,Audited,NaN,Jun-30,"Simon Crutchley (CEO), Owen Cressey (CFO)",NaN,"7,946 as of 03/25/2013"
AVSR,"4,086",NaN,"40,856,976",0.001,,"1855 S. Grant Street, 4th Floor San Mateo, CA 94402",www.avistar.com,650-525-3300,prinfo@avistar.com,NaN,03/31/2012,Dec-31,"Robert A. Kirk (CEO), Elias Murray Metzger (CFO)",NaN,NaN
AVTBF,"15,019,224",Unlimited,"314,209,717",NaN,,"1632 Dickson Avenue Suite 335 Kelowna, BC V1Y 7T2 Canada",www.avantbrands.ca,+1 778-760-8338,ir@avantbrands.ca,Audited,02/29/2024 Interim Financial Report,Nov-30,"Norton Singhavon (CEO), David Lynn (COO), Jeremy Wright (CFO), Lindsay Megan Allyssa Hamelin (Corporate Secretary), Alyssa Barry (IR)","Jurgen Schreiber, Sylvia Lee, Duane Lo, Derek Sanders",175 as of 05/01/2024
AVTGF,"7,001,897",NaN,"46,679,311",NaN,NaN,"1055 West Hasting Street, Suite 2380 Vancouver, BC V6E 2E9 Canada",www.avantigoldcorp.com,+1 604-908-1679,info@avantigoldcorp.com,NaN,NaN,NaN,NaN,NaN,NaN
AVTI,"73,131","800,000,000","731,314,846",0.01,,"5005 Elbow Drive SW #207 Calgary, AB T2S 1T9 Canada",cgelmon@telusplanet.net,310-909-3830,NaN,NaN,12/31/1993,Sep-30,"Cory Gelmon (CEO, CFO)",NaN,1 as of 08/17/2010
AVTLF,NaN,NaN,NaN,NaN,NaN,NaN,www.addvaluetech.com,,NaN,Audited,NaN,Mar-31,NaN,NaN,NaN
AVTNF,NaN,NaN,"69,952,000",NaN,NaN,"65 Kampong Bahru Road, #01-01 Singapore 169370 Singapore",www.avation.net,+65 6252 2077,investor@avation.net,Audited,NaN,Jun-30,NaN,NaN,NaN
AVTXF,"114,559,595",NaN,"43,230,036",NaN,NaN,NaN,www.avantium.com,,ir@avantium.com,NaN,NaN,Dec-31,NaN,NaN,NaN
AVVH,"1,932,885","4,000,000,000","966,442,572",0.001,05/28/2021,"1001 West Loop South Suite 803 Houston, TX 77027",www.goldquestcapital.com,+1 713-621-6466,info@goldquestcapital.com,Unaudited,02/29/2024 Quarterly Report,May-31,"Miguel Sanchez (President, CEO, Treasurer, Director, Supervisory Board), Carey W Cooley (Secretary, Director, Supervisory Board), Luis Beita (Director, Supervisory Board), Patrick Ashiofu (Director, Supervisory Board), Ankit Amin (Director, Supervisory Board)",NaN,2 as of 05/31/2023
AVVIY,NaN,NaN,NaN,NaN,03/31/2024,St. Helen's 1 Undershaft London EC3P 3DQ United Kingdom,www.aviva.com,+44 (0) 207 6629950,IR@aviva.com,Audited,12/31/2015,Dec-31,"Richard Harvey (CEO), Richard Whitaker (Secretary), David Elliot (Director, Inv. Rel.)",NaN,NaN
AVVNF,NaN,NaN,"61,953,555,600",NaN,NaN,"Jl. Raya Surabaya - Sidoarjo KM. 19, Desa Wadungasih, Kec. Buduran, Sidoarjo 61252 Indonesia",en.avianbrands.com,+62 31 896 8000,investor.relations@avianbrands.com,Audited,NaN,Dec-31,NaN,NaN,NaN
AVVOF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AVVZF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AVXT,"14,261",NaN,"142,605,753",0.004,,"2000 Hamilton Street Suite 204 Philadelphia, PA 19130",www.avax-tech.com,215-241-9760,info@avax-tech.com,NaN,09/30/2008,Dec-31,Adele Sommerfeld (CEO),"Andy Dahl, Bruno Maruzzo, Serge Morrell",NaN
AWAEF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AWAW,"270,457","8,000,000,000","117,589,784",0.001,12/31/2023,2-5-16-901 Shirogane Minato-ku Tokyo 108-0072 Japan,www.whitefoxventures.com,-8208,info@whitefoxventures.com,Unaudited,06/30/2017 Quarterly Report,Dec-31,Shinsuke Nakano (CEO),Shinsuke Nakano,6 as of 09/21/2016
AWCA,"355,506,905","1,000,000,000","351,987,035",0.01,03/31/2024,"3400 Lakeside Dr Suite 100 Miramar, FL 33027",awaysiscapital.com,(855) 795-3311,info@awaysiscapital.com,Audited,03/31/2024,Jun-30,"Michael Todd Singh (CEO), Andrew E. Trumbach (President, CFO, Secretary), Lisa-Marie Iannitelli (Director, Inv. Rel.), Tyler Andrew Trumbach (Chief Legal Counsel), Stephen E. Fox (Counsel)","Michael Todd Singh, Lisa-Marie Iannitelli, Narendra Kini MD, Claude N Stuart, Andrew E. Trumbach, Tyler Andrew Trumbach",5 as of 10/19/2022
AWCMF,"3,336,933,630",Unlimited,"2,901,681,417",1,,"Level 36 2 Southbank Boulevard Southbank, VA 3006 Australia",www.aluminalimited.com,+61 3 8699 2600,info@aluminalimited.com,Audited,12/31/2023 Annual Report,Dec-31,"Michael Peter Ferraro (CEO), Galina Kraeva (CFO), Katherine Louise Kloeden (Corporate Secretary), Nicholas A Wallace-Smith (Assistant Corporate Secretary), Craig Evans (Head of IR)","Peter Day, Shirley In't Veld, Deborah Mary O'Toole, John Andrew Bevan, Alistair Field, Chen Zeng",15 as of 04/16/2023
AWCMY,"3,268,018,696",Unlimited,"2,901,681,417",1,,"Level 36 2 Southbank Boulevard Southbank, VA 3006 Australia",www.aluminalimited.com,+61 3 8699 2600,info@aluminalimited.com,Audited,12/31/2023 Annual Report,Dec-31,"Michael Peter Ferraro (CEO), Galina Kraeva (CFO), Katherine Louise Kloeden (Corporate Secretary), Nicholas A Wallace-Smith (Assistant Corporate Secretary), Craig Evans (Head of IR)","Peter Day, Shirley In't Veld, Deborah Mary O'Toole, John Andrew Bevan, Alistair Field, Chen Zeng",15 as of 04/16/2023
AWEVF,"1,312,977,294",NaN,"625,584,760",NaN,NaN,"170 University Avenue, Suite 1001 Toronto, ON M5H 3B3 Canada",www.awaveip.com/en/home,+1 416-477-2113,ir@awaveip.com,NaN,NaN,Dec-31,NaN,NaN,NaN
AWGL,682,"50,000,000","1,363,856",0.001,,"4162 Big Ranch Rd. Napa, CA 94558",www.andrettiwinery.com,707-259-6777,info@andrettiwinery.com,NaN,NaN,Dec-31,"Joseph A. Antonini (President, Treasurer), John Caponigro (Secretary)",NaN,15 as of 10/04/2005
AWKNF,"4,037,691",Unlimited,"40,376,910",NaN,NaN,"301-217 Queen St W Toronto, ON M5V 0R2 Canada",awaknlifesciences.com,+1 416-270-9566,jonathanh@awaknlifesciences.com,Audited,01/31/2024 Annual Report,Jan-31,"Anthony Tennyson (CEO), Jonathan Held (CFO), David Nutt (Other)","George Scorsis, Paul Carter, Stephen Page, John Papastergiou, Anthony Tennyson",8 as of 08/31/2023
AWLCF,"79,689,720",NaN,"54,582,000",NaN,NaN,"2 Kingshill Park, Venture Drive Arnhall Business Park Aberdeen, SCL AB32 6FL United Kingdom",www.awilcodrilling.com,+44 1224 737900,ch@awilcodrilling.com,Audited,NaN,Dec-31,Catherine Haavind (IR),NaN,NaN
AWLIF,"2,610,781",NaN,"13,740,953",NaN,,"Suite 306, 1110 Hamilton Street Vancouver, BC V6B 2S2 Canada",ameriwestlithium.com,+1 (604) 343-8661,info@ameriwestlithium.com,Audited,NaN,Apr-30,"David G. Watkinson (CEO), Glenn Edward Collick (COO), Graeme David Wright (CFO), Melissa Rochelle Vettoretti (Corporate Secretary)","Glenn Edward Collick, Saman Eskandari, James Andre Gheyle, Zygmunt Stanislaw Hancyk, David G. Watkinson",NaN
AWLNF,"95,435,000",NaN,"132,548,611",NaN,NaN,NaN,www.awilcolng.no,,NaN,Audited,NaN,Dec-31,NaN,NaN,NaN
AWLRF,"33,774,576",NaN,"67,549,152",NaN,,"8681 Clay Street Mission, BC V4S1E7 Canada",awaleresources.ca,,a.chubb@awaleresources.com,Audited,NaN,Dec-31,NaN,NaN,NaN
AWMLF,"36,870,955",Unlimited,"436,859,655",0.047,NaN,"28 Ord Street Level 2, Unit 2 West Perth, WA 6005 Australia",www.americanwestmetals.com,+61 8-6109-6653,info@aw1group.com,Audited,03/31/2024 Quarterly Report,Jun-30,"David John O'Neill (Managing Director), Rocky Pray (Vice President), Accounts Payable (Accountant), David Batista (Consultant), Sarah Shipway (Company Secretary)","Michael Richard Anderson, Daniel Lougher, Thomas Frederick Peregoodoff, John Prineas",6 as of 09/11/2023
AWON,"2,224,536","375,000,000","370,756,038",0.001,,"15169 North Scottsdale Road Scottsdale, AZ 85254",www.AICPG.tech,+1 602-284-3096,info@AICPG.tech,Unaudited,03/31/2024 Quarterly Report,Dec-31,"Lloyd Richard Preston Jr. (CEO, President, Treasurer)","John F Arminio, Lloyd Richard Preston Jr., Sean Lenehan",1 as of 02/15/2023
AWRRF,"318,260,843",NaN,"14,585,673",NaN,NaN,"300-171 W. Esplanade North Vancouver, BC V7M 3K9 Canada",www.awincomefund.ca,604-988-2141,investorrelations@aw.ca,NaN,NaN,NaN,"Paul F.B. Hollands (President, CEO), Donald T. Leslie (CFO)",NaN,NaN
AWRS,"3,267","500,000,000","16,334,947",0.001,NaN,"4 King Street West Suite 1320 Toronto, ON M5H 1B6 Canada",www.allworldresources.com,416-864-0175,info@allworldresources.com,NaN,12/31/2012 Quarterly Report,Jun-30,"Abraham Arnold (CEO), Ronald P. Haller (Secretary, Treasurer), Ronald Haller (Treasurer, Secretary)","Abraham Arnold, Stephen Couchman",2 as of 05/04/2007
AWRY,NaN,NaN,NaN,100,NaN,"500 Water St. Jacksonville, FL 32202-4420",www.awrail.com,904-359-3100,info@awrail.com,NaN,NaN,Dec-31,"Jerry A. Davis (President), Patricia Aftoora (Secretary)",NaN,NaN
AWSL,"13,061,871","500,000,000","353,980,245",0.00001,NaN,"4600 140th Ave N Ste 200 Clearwater, FL 33762",www.apaicorp.com,+1 727-647-2307,kbagnall@apaicorp.com,Unaudited,12/31/2023 Annual Report,Dec-31,Kevin Bagnall (CEO),"Kevin Bagnall, Tommy Alfredo",14 as of 02/12/2024
AWTRF,"2,582,059,116",NaN,"196,205,100",NaN,NaN,20-16 Higashi-Shinsaibashi 1-Chome Osaka 542-0083 Japan,NaN,816-6252-5411,NaN,NaN,NaN,Mar-31,NaN,NaN,NaN
AWWI,"104,451","190,000,000","139,267,840",0.001,,"699 Hampshire Road Suite 105 West Lake Village, CA 91316",www.everhome.io,+1 805-379-3300,HELLO@Everhome.IO,Unaudited,06/30/2023 Quarterly Report,Dec-31,"David Bartels (President, CEO), Gregg Saunders (Acting CFO), Jonathan Black (Secretary, COO, Legal Counsel), Jacob Litke (CTO), Peder K Davisson (Advisor)","David Bartels, Jonathan Black",5 as of 01/10/2023
AXAC,"183,672,300",NaN,"17,610,000",NaN,,"Hidden Pines Farm 1409, Hopewell Road Alpharetta, GA 30004",NaN,+1 (770) 813-6500,NaN,NaN,09/30/2022,NaN,NaN,NaN,NaN
AXAHF,"82,711,784,136",Unlimited,"2,351,770,945",2.29,03/31/2024,25 avenue Matignon 75008 Paris Paris 75008 France,www.axa.com,+33 1 4075 5700,investor.relations@axa.com,Audited,12/31/2023 Annual Report,Dec-31,"Thomas Buberl (CEO), George Stansfield (Deputy CEO), Frederic De Courtois (Deputy CEO), Patrick Cohen (Executive Director), Ulrike Decoene (Executive Director), Scott Gunter (Executive Director), Marco Morelli (Executive Director), Karima Silvent (Executive Director), Alexander Vollert (Executive Director), Guillaume Borie (Executive Director), Francoise Gilles (Executive Director), Nancy Bewlay (Executive Director), Alban De Mailly Nesle (CFO), Helen Browne (General Counsel), Remi Dousteyssier (IR), Sharma Abhishek (IR Analyst)","Antoine Gosset-Grainville, Jean-Pierre Clamadieu, Isabel Hudson, Gerald Harlin, Martine Bievre, Bettina Cramm, Clotilde Delbos, Rachel Duan, Guillaume Faury, Ramon Fernandez, Andre Francois-Poncet, Angelien Kemna, Rachel Picard, Ramon De Oliveira, Marie-France Tschudin","110,302 as of 12/31/2022"
AXAHY,"81,794,593,467",Unlimited,"2,351,770,945",NaN,03/31/2024,25 avenue Matignon 75008 Paris Paris 75008 France,www.axa.com,+33 1 4075 5700,investor.relations@axa.com,Audited,12/31/2023 Annual Report,Dec-31,"Thomas Buberl (CEO), George Stansfield (Deputy CEO), Frederic De Courtois (Deputy CEO), Patrick Cohen (Executive Director), Ulrike Decoene (Executive Director), Scott Gunter (Executive Director), Marco Morelli (Executive Director), Karima Silvent (Executive Director), Alexander Vollert (Executive Director), Guillaume Borie (Executive Director), Francoise Gilles (Executive Director), Nancy Bewlay (Executive Director), Alban De Mailly Nesle (CFO), Helen Browne (General Counsel), Remi Dousteyssier (IR), Sharma Abhishek (IR Analyst)","Antoine Gosset-Grainville, Jean-Pierre Clamadieu, Isabel Hudson, Gerald Harlin, Martine Bievre, Bettina Cramm, Clotilde Delbos, Rachel Duan, Guillaume Faury, Ramon Fernandez, Andre Francois-Poncet, Angelien Kemna, Rachel Picard, Ramon De Oliveira, Marie-France Tschudin","110,302 as of 12/31/2022"
AXBKY,NaN,NaN,NaN,NaN,NaN,"131, Maker Tower - F Cuffe Parade Mumbai 380-009 India",www.axisbank.com,(022) 6707 4407,NaN,NaN,NaN,Mar-31,NaN,NaN,NaN
